,date,close,volume
1800,2021-01-04,54.529998779296875,12231600
1812,2021-01-21,47.119998931884766,15457900
1822,2021-02-04,56.5099983215332,10999300
1830,2021-02-17,71.79000091552734,21422600
1831,2021-02-18,72.26000213623047,16072100
1838,2021-03-01,77.62999725341797,24359200
1843,2021-03-08,63.47999954223633,21722000
1846,2021-03-11,68.45999908447266,14722200
1849,2021-03-16,69.25,13216100
1853,2021-03-22,65.20999908447266,24123800
1854,2021-03-23,64.2699966430664,17788600
1858,2021-03-29,62.939998626708984,22034500
1860,2021-03-31,63.630001068115234,14479800
1864,2021-04-07,68.98999786376953,23964600
1865,2021-04-08,71.22000122070312,16843400
1875,2021-04-22,64.30999755859375,16804100
1880,2021-04-29,65.08999633789062,31017700
1883,2021-05-04,54.400001525878906,30404500
1910,2021-06-11,60.5,6980400
1939,2021-07-23,71.69000244140625,44275800
1940,2021-07-26,68.69000244140625,29185100
1941,2021-07-27,68.33000183105469,16988300
